,0,1
0,trump,1214
1,warns,12
2,vote,41
3,flipping,2
4,machine,3
5,election,59
6,giant,1
7,middle,2
8,finger,2
9,washington,4
10,d,14
11,populism,2
12,controlled,1
13,governmen,2
14,bollywood,1
15,ad,7
16,meant,1
17,sway,1
18,indian,2
19,american,22
20,voters,16
21,hilarious,3
22,fai,2
23,dems,3
24,charges,3
25,inciting,1
26,rally,17
27,violenc,2
28,israeli,5
29,supporters,33
30,donald,228
31,jerusalem,5
32,forever,1
33,event,2
34,israel,8
35,capital,1
36,cit,3
37,clinton,123
38,tensions,1
39,escalate,1
40,china,3
41,russia,20
42,u,27
43,presiden,15
44,bernie,5
45,sanders,7
46,replace,3
47,president,49
48,little,5
49,known,1
50,loophol,1
51,prepare,1
52,2018,1
53,landslide,7
54,victory,27
55,usher,1
56,coming,4
57,global,6
58,shakin,2
59,shut,1
60,federal,4
61,reserve,1
62,start,7
63,issuing,1
64,debt,1
65,free,5
66,mone,3
67,united,5
68,states,17
69,america,39
70,j,5
71,trum,114
72,watch,34
73,people,21
74,laughed,1
75,said,9
76,wi,21
77,attacking,3
78,assad,1
79,end,8
80,fighting,5
81,informatio,13
82,media,30
83,lost,4
84,political,14
85,power,5
86,night,3
87,thank,2
88,daily,15
89,wir,13
90,iranian,1
91,pastor,5
92,held,4
93,hostage,1
94,iran,7
95,voting,29
96,according,2
97,activity,1
98,facebook,3
99,sweep,1
100,42,2
101,50,3
102,electio,15
103,julian,4
104,assange,7
105,predicts,6
106,lose,8
107,missing,2
108,day,13
109,1,8
110,presidency,20
111,implications,1
112,nat,2
113,reporters,3
114,stunned,2
115,learn,1
116,fans,8
117,lining,1
118,12,7
119,hours,2
120,dont,15
121,speak,1
122,evangelical,3
123,phd,1
124,slams,3
125,religious,1
126,right,9
127,leaders,2
128,supporting,3
129,harry,4
130,reid,4
131,desperately,2
132,accuses,7
133,fbi,34
134,violating,1
135,hatch,1
136,ac,1
137,commander,5
138,chief,8
139,terrifying,2
140,powers,1
141,thanks,3
142,obam,3
143,hissy,2
144,fit,3
145,reporter,15
146,points,3
147,pausing,1
148,campaign,38
149,open,5
150,hotel,5
151,really,3
152,dum,1
153,gingrich,4
154,exchange,2
155,megyn,6
156,kelly,5
157,play,4
158,game,3
159,asked,4
160,george,12
161,takei,2
162,tweet,8
163,positive,2
164,did,17
165,perfec,2
166,world,34
167,war,26
168,3,19
169,hillary,137
170,v,3
171,strategy,3
172,stopped,1
173,tried,2
174,assassinate,3
175,austyn,1
176,crites,1
177,shows,8
178,wikileaks,3
179,7,12
180,time,15
181,booby,1
182,trap,2
183,polling,6
184,place,2
185,spill,1
186,blood,1
187,volunteer,1
188,addicting,8
189,info,10
190,knowledge,8
191,crav,8
192,calling,5
193,brave,2
194,faced,2
195,man,14
196,stormed,1
197,stag,2
198,says,45
199,favorite,5
200,book,5
201,longer,1
202,bible,2
203,new,80
204,proves,6
205,narcissis,2
206,colour,1
207,revolution,11
208,active,1
209,zone,1
210,victor,21
211,usa,3
212,antique,1
213,hero,2
214,breaking,27
215,melania,11
216,immigration,3
217,records,2
218,public,2
219,ultimate,4
220,hypocrisy,1
221,foreign,11
222,policy,11
223,sane,1
224,belligeren,1
225,misogynist,2
226,hemorrhaging,1
227,women,8
228,voter,39
229,tower,3
230,surrounded,2
231,dump,7
232,trucks,1
233,anticipation,2
234,llama,1
235,mantenimiento,1
236,porque,1
237,el,5
238,bot,1
239,n,4
240,nuclear,7
241,funcion,1
242,repeats,1
243,bogus,2
244,claim,3
245,captain,1
246,khan,2
247,alive,1
248,consultant,1
249,tied,2
250,super,1
251,pac,3
252,promoted,1
253,suppression,6
254,black,35
255,female,5
256,kevin,1
257,macdonald,2
258,celebrates,2
259,amazing,3
260,possible,3
261,path,5
262,ukraine,3
263,crisis,3
264,consortiumnew,1
265,lesser,2
266,evil,3
267,fan,4
268,just,73
269,electric,2
270,chair,2
271,law,4
272,cnn,18
273,calls,23
274,sheriff,2
275,clarke,2
276,terrorist,4
277,considers,1
278,giving,1
279,incredible,1
280,job,4
281,endingfed,9
282,news,29
283,networ,9
284,tsunami,1
285,incoming,1
286,florida,7
287,today,4
288,make,17
289,sonntagsfrage,1
290,sagen,1
291,sie,1
292,dazu,1
293,dass,2
294,tats,1
295,chlich,1
296,gewonnen,1
297,ha,3
298,proof,4
299,iowa,3
300,cop,2
301,killer,2
302,supporte,2
303,set,6
304,ruling,1
305,lobbyists,1
306,terrified,1
307,liberty,11
308,writers,8
309,harder,1
310,respect,1
311,backers,2
312,vice,2
313,vers,1
314,newt,2
315,goes,11
316,berserk,1
317,fox,7
318,referred,1
319,sexual,6
320,predato,1
321,bridging,1
322,gap,4
323,promises,9
324,deal,10
325,americ,16
326,ivanka,4
327,makes,9
328,tragic,1
329,announcement,5
330,shocked,3
331,prophec,1
332,heureux,1
333,et,2
334,souriant,1
335,il,2
336,la,9
337,chance,4
338,toujours,1
339,ignorer,1
340,que,4
341,t,8
342,lu,1
343,le,11
344,goraf,7
345,warning,3
346,iii,4
347,isi,1
348,obama,57
349,display,1
350,unity,3
351,white,35
352,house,15
353,meetin,1
354,awe,1
355,gives,5
356,elegant,1
357,speech,10
358,given,2
359,booed,1
360,outside,3
361,terrible,1
362,da,5
363,slim,1
364,greatnes,1
365,attack,8
366,dog,3
367,david,10
368,brock,1
369,plotting,2
370,soros,18
371,steyer,1
372,sussman,1
373,kick,1
374,shock,9
375,nyt,4
376,gutter,1
377,victimizing,1
378,gir,1
379,shattered,1
380,jews,2
381,idyll,1
382,tests,2
383,capable,1
384,ballistic,1
385,missile,2
386,heard,1
387,grabs,2
388,pussie,1
389,team,5
390,begins,5
391,making,5
392,list,7
393,executive,2
394,orders,1
395,erase,3
396,wont,13
397,believe,2
398,reason,11
399,havent,1
400,seen,1
401,late,3
402,twitter,6
403,rant,3
404,announced,2
405,looking,3
406,ties,4
407,russi,9
408,trumpflation,1
409,scam,1
410,fiscal,1
411,bloodbath,1
412,ahea,1
413,crushed,2
414,hollywood,17
415,walk,14
416,fame,10
417,star,29
418,smashed,2
419,sledgehamme,2
420,45th,4
421,air,4
422,took,4
423,lead,15
424,electionnigh,1
425,chaos,7
426,woman,16
427,raped,2
428,age,5
429,13,5
430,schedules,1
431,press,8
432,conference,2
433,falls,2
434,apar,1
435,inside,4
436,invisible,3
437,government,6
438,john,5
439,pilger,2
440,propaganda,4
441,victim,2
442,propagand,2
443,statistical,1
444,tie,3
445,latest,4
446,breitbart,1
447,gravis,1
448,poll,21
449,closes,2
450,weeks,2
451,lef,1
452,500,2
453,000,5
454,sign,7
455,petition,1
456,asking,1
457,electoral,10
458,college,7
459,pick,2
460,instead,3
461,climactic,1
462,putin,22
463,oppo,1
464,epic,8
465,stocks,1
466,deby,1
467,bring,2
468,morning,2
469,mourning,1
470,billionaire,2
471,globalist,3
472,exposed,4
473,hidden,2
474,hand,3
475,protests,10
476,provoking,1
477,color,6
478,revolutio,2
479,declared,2
480,winne,2
481,kissinger,3
482,need,8
483,positions,2
484,taken,1
485,pillow,1
486,tal,2
487,duke,13
488,treason,3
489,6,2
490,00,1
491,november,3
492,6th,1
493,leading,3
494,major,9
495,national,8
496,jerusale,3
497,draining,2
498,swamp,4
499,2,10
500,0,1
501,versus,1
502,reaga,1
503,podesta,2
504,brothers,1
505,pedo,1
506,ring,1
507,mr,7
508,drain,1
509,guerrilla,1
510,economis,1
511,rushed,3
512,stage,4
513,reno,3
514,assassination,5
515,attemp,1
516,having,1
517,stroke,1
518,huckabee,2
519,car,6
520,wreck,1
521,freaks,2
522,laugh,2
523,hi,5
524,clean,5
525,energy,3
526,market,8
527,trumps,4
528,coa,1
529,aide,3
530,urges,1
531,disclose,1
532,knows,1
533,ex,6
534,manager,2
535,didnt,10
536,know,15
537,gold,9
538,family,10
539,bashing,4
540,lib,2
541,reprimanded,1
542,live,8
543,interview,10
544,using,2
545,wor,1
546,comment,32
547,win,36
548,think,8
549,hard,2
550,horror,2
551,happene,4
552,teaching,1
553,patriotism,1
554,school,3
555,earth,1
556,route,1
557,27,3
558,hits,3
559,unfavorability,1
560,high,4
561,60,5
562,higher,1
563,pantano,1
564,y,1
565,fuego,1
566,katehon,4
567,tank,4
568,geopolitics,4
569,traditio,4
570,dear,2
571,liberals,4
572,righ,2
573,electronic,3
574,machines,6
575,caught,11
576,switching,5
577,votes,13
578,trying,10
579,steal,11
580,texas,10
581,surviva,1
582,order,7
583,burning,3
584,flag,3
585,charged,3
586,conservative,4
587,pos,2
588,kills,1
589,gop,11
590,lowest,1
591,score,1
592,history,4
593,presidential,10
594,leadership,1
595,pol,1
596,reasons,4
597,won,14
598,cartoon,1
599,lurks,1
600,promised,3
601,drai,1
602,biden,4
603,support,6
604,israe,1
605,nation,7
606,lawyers,4
607,professor,2
608,predicted,6
609,elections,2
610,87,1
611,winnin,2
612,popular,3
613,dea,6
614,posted,1
615,instagram,2
616,father,4
617,biggest,4
618,controversie,1
619,looks,2
620,like,15
621,funding,2
622,funded,5
623,ferguson,2
624,riot,5
625,winning,7
626,future,4
627,depends,1
628,state,9
629,anti,36
630,protesters,8
631,tools,3
632,oligarchy,2
633,host,5
634,scolds,1
635,conway,2
636,treatment,1
637,flips,1
638,script,1
639,big,7
640,questio,1
641,brian,1
642,cloughley,1
643,greatest,2
644,achievement,3
645,engage,1
646,discussions,1
647,chin,1
648,repeatedly,2
649,warned,2
650,anthony,3
651,weiner,4
652,security,4
653,ris,1
654,vows,2
655,personal,1
656,spending,2
657,total,1
658,100mln,1
659,isnt,2
660,letting,2
661,hammers,1
662,pimping,1
663,campaignin,2
664,filipina,1
665,chef,1
666,paula,1
667,deen,1
668,mitch,1
669,jalandon,1
670,republican,9
671,protester,7
672,nearly,2
673,killed,5
674,ou,3
675,homeless,12
676,supporter,42
677,guards,2
678,blv,1
679,kicks,5
680,african,5
681,north,2
682,carolina,2
683,thu,2
684,congressmen,1
685,turned,1
686,radio,3
687,joe,3
688,walsh,2
689,recklessly,1
690,talks,2
691,muskets,1
692,riots,8
693,getting,5
694,control,3
695,shouting,1
696,kill,7
697,crowd,6
698,chants,3
699,better,2
700,11,8
701,dead,2
702,cops,2
703,police,6
704,officers,2
705,ambushed,1
706,weeken,1
707,classless,1
708,refuses,3
709,photo,4
710,op,1
711,welcome,3
712,revealed,5
713,sat,1
714,sex,5
715,misconduct,2
716,allegations,2
717,month,1
718,allows,1
719,sick,4
720,disgusting,2
721,liberal,9
722,tweets,6
723,rape,4
724,melani,1
725,engulf,1
726,msnbc,8
727,screws,1
728,interviews,1
729,destroy,4
730,negative,2
731,stereotyped,1
732,narrativ,2
733,intercept,2
734,outs,4
735,neocon,4
736,democrat,5
737,smear,4
738,puppet,1
739,eric,5
740,zuess,2
741,christian,5
742,evangelicals,1
743,save,6
744,allowed,3
745,isis,6
746,finally,4
747,plays,1
748,antiwar,1
749,card,2
750,littl,1
751,advocates,2
752,success,1
753,shocks,6
754,apparently,2
755,activated,1
756,reset,3
757,button,1
758,markets,4
759,panic,4
760,reopens,2
761,email,14
762,probe,3
763,harvey,1
764,orga,1
765,limbaugh,1
766,perfectly,1
767,sums,1
768,left,6
769,unwilling,1
770,face,8
771,wo,4
772,lol,3
773,listen,3
774,yoko,1
775,ono,1
776,primal,2
777,response,4
778,michael,10
779,moo,3
780,blow,1
781,f,11
782,elite,4
783,human,3
784,molotov,2
785,cocktai,2
786,psychic,1
787,words,1
788,year,9
789,ago,4
790,look,10
791,endorsed,6
792,wikileak,3
793,announces,7
794,massive,8
795,expansion,1
796,plans,4
797,nas,1
798,russian,16
799,experts,4
800,expect,2
801,suspect,2
802,post,5
803,seeks,2
804,pardon,3
805,hate,9
806,yuuuge,1
807,ohio,3
808,14,2
809,independents,3
810,wins,18
811,congressman,9
812,plan,10
813,loses,10
814,includes,3
815,muske,2
816,indirectly,1
817,helping,2
818,syri,4
819,sue,2
820,spokeswoman,1
821,slanders,1
822,angela,1
823,rye,1
824,tv,7
825,gets,13
826,smack,1
827,dow,4
828,ball,1
829,mexico,7
830,canada,3
831,say,8
832,willing,1
833,redo,1
834,nafta,2
835,speaker,1
836,hopes,2
837,dies,1
838,fiery,1
839,cras,2
840,secretary,5
841,bolton,2
842,advises,1
843,confront,1
844,embrace,1
845,foreve,2
846,salary,1
847,snowflake,1
848,colbert,2
849,want,7
850,write,1
851,jokes,2
852,trumpprotest,1
853,communists,2
854,mobilize,2
855,disrupt,1
856,elect,13
857,inauguratio,2
858,implodes,1
859,paid,9
860,insider,3
861,confesses,1
862,pre,1
863,stir,1
864,unres,1
865,exact,2
866,moment,3
867,paul,7
868,ryan,1
869,committed,1
870,suicide,2
871,rall,10
872,violently,1
873,harass,1
874,ranking,1
875,official,7
876,confirms,2
877,contact,1
878,queen,1
879,claims,10
880,70,3
881,years,6
882,prince,2
883,philip,1
884,perfect,3
885,preparation,1
886,pimp,1
887,old,12
888,girl,4
889,threat,5
890,witnesse,1
891,ok,1
892,truth,2
893,word,4
894,bigl,1
895,distrubing,1
896,video,22
897,sexually,3
898,assaulting,2
899,miss,5
900,universe,2
901,reports,2
902,officials,6
903,dismiss,2
904,concerns,1
905,ongoing,1
906,cbs4,1
907,fraud,10
908,investigation,9
909,finds,4
910,twic,1
911,shocking,4
912,nostradamus,2
913,rise,3
914,powe,5
915,literally,3
916,hurts,1
917,brain,1
918,read,1
919,economic,6
920,idiocy,1
921,emitted,1
922,trumpkins,1
923,libertaria,1
924,dramatically,2
925,secret,11
926,service,4
927,ensue,1
928,crushing,3
929,numbers,6
930,shocker,3
931,freefall,1
932,happening,3
933,unbelievabl,1
934,threatens,3
935,jail,2
936,clinto,9
937,stop,8
938,drinking,1
939,starbucks,1
940,wait,2
941,til,1
942,influential,2
943,journalist,3
944,nails,1
945,soon,2
946,means,3
947,stalemate,1
948,ter,3
949,class,2
950,touch,1
951,electorate,1
952,ron,2
953,pau,1
954,young,3
955,turks,1
956,utah,2
957,republicans,5
958,decade,1
959,era,2
960,unpredictability,1
961,await,1
962,number,4
963,accusers,2
964,grows,1
965,finland,3
966,assaul,3
967,dillary,1
968,trumplon,1
969,guy,2
970,rap,3
971,song,3
972,destroyed,7
973,hillar,13
974,argument,2
975,wors,1
976,tells,12
977,story,4
978,2016,7
979,aftermath,1
980,facing,1
981,fear,4
982,uncertaint,1
983,hotlines,1
984,record,7
985,phones,1
986,ringing,1
987,hoo,2
988,jr,4
989,thinks,4
990,moore,7
991,dad,1
992,hilariou,1
993,shameless,2
994,insults,2
995,instantly,1
996,regrets,1
997,decisio,1
998,invigorates,1
999,volk,1
1000,formulating,1
1001,einsatzgruppe,1
1002,reject,1
1003,divisive,3
1004,vision,3
1005,sees,3
1006,turnout,2
1007,vorbild,1
1008,afd,1
1009,fordert,1
1010,ebenfalls,1
1011,mauer,1
1012,grenze,1
1013,zu,1
1014,mexik,1
1015,blasts,3
1016,comey,3
1017,drops,3
1018,bombshell,5
1019,sitting,4
1020,inf,1
1021,civil,5
1022,long,2
1023,experiment,1
1024,audio,1
1025,wayne,1
1026,allen,2
1027,root,1
1028,revelation,1
1029,dnc,2
1030,lie,7
1031,convening,1
1032,grand,1
1033,jury,1
1034,trust,3
1035,surrogate,2
1036,bazinga,1
1037,point,9
1038,swing,4
1039,polls,11
1040,reopened,2
1041,crooked,4
1042,investigatio,5
1043,forget,2
1044,charade,1
1045,wake,1
1046,threats,2
1047,follow,3
1048,los,6
1049,gov,2
1050,weld,1
1051,encourges,1
1052,van,1
1053,jones,3
1054,reality,3
1055,seguir,1
1056,viviendo,1
1057,en,3
1058,su,1
1059,domicilio,1
1060,particular,1
1061,al,5
1062,considerar,1
1063,casa,2
1064,blanca,2
1065,es,1
1066,cuchitri,1
1067,syrian,3
1068,sewer,1
1069,eastern,7
1070,outloo,7
1071,emotionally,1
1072,king,2
1073,pissed,1
1074,blows,2
1075,embargo,1
1076,lashes,1
1077,ck,3
1078,maryland,3
1079,switched,3
1080,following,2
1081,hopefully,1
1082,soo,2
1083,farage,3
1084,act,3
1085,nearest,1
1086,domin,1
1087,tim,2
1088,bullies,1
1089,silent,1
1090,identified,2
1091,thing,4
1092,october,3
1093,explosive,2
1094,information,1
1095,conspiring,1
1096,puti,7
1097,coward,2
1098,repor,3
1099,got,9
1100,hit,4
1101,32,1
1102,million,9
1103,tax,1
1104,evasion,1
1105,lawsui,2
1106,fleeing,1
1107,optio,1
1108,vs,6
1109,prediction,3
1110,greg,1
1111,laden,1
1112,blog,2
1113,science,1
1114,technolog,1
1115,seeing,2
1116,run,5
1117,cor,1
1118,e,3
1119,du,3
1120,nord,1
1121,annonce,1
1122,avoir,2
1123,envoy,2
1124,balistique,1
1125,licitation,1
1126,m,18
1127,clintons,4
1128,consolidating,1
1129,apply,1
1130,administratio,2
1131,hating,1
1132,catatonic,1
1133,o,5
1134,reilly,1
1135,frau,2
1136,4,12
1137,losers,2
1138,stunning,3
1139,spikes,1
1140,pulling,1
1141,upset,2
1142,real,7
1143,shocke,2
1144,wall,11
1145,street,3
1146,sjws,1
1147,fail,1
1148,purple,1
1149,takeove,1
1150,americans,15
1151,deserve,3
1152,party,12
1153,kidding,1
1154,colleges,1
1155,students,5
1156,safe,2
1157,spaces,1
1158,threaten,2
1159,pro,8
1160,chalking,1
1161,accepts,1
1162,nomination,1
1163,domai,1
1164,stung,1
1165,used,3
1166,undocumented,2
1167,workers,2
1168,dc,5
1169,hote,4
1170,cabinet,3
1171,possibilitie,1
1172,rejects,2
1173,turncoats,1
1174,launches,1
1175,aleppo,2
1176,campaig,4
1177,able,2
1178,agree,1
1179,predictions,1
1180,predicte,1
1181,whispered,1
1182,hope,3
1183,ham,1
1184,motherfucker,1
1185,che,1
1186,mike,4
1187,pence,5
1188,fine,1
1189,assault,3
1190,offended,1
1191,suppressio,2
1192,considering,1
1193,military,3
1194,general,3
1195,vp,4
1196,marbleneclt,1
1197,britain,1
1198,hopeful,1
1199,falling,1
1200,dollar,3
1201,affordable,1
1202,marmit,1
1203,retired,1
1204,troop,1
1205,5,11
1206,advisors,1
1207,prove,3
1208,judge,4
1209,ordered,3
1210,rnc,1
1211,reveal,3
1212,pact,1
1213,mind,2
1214,blowing,2
1215,comments,2
1216,95,1
1217,90k,1
1218,rigge,1
1219,cancel,3
1220,guarantees,1
1221,malcolm,1
1222,x,1
1223,wasnt,1
1224,surpris,1
1225,steve,3
1226,bannon,3
1227,virulent,1
1228,semite,1
1229,ardent,1
1230,zionis,3
1231,cheating,2
1232,debates,1
1233,chanc,2
1234,protects,1
1235,violent,9
1236,leftist,1
1237,founding,1
1238,daes,1
1239,violence,3
1240,sweeps,2
1241,natio,1
1242,speculation,1
1243,promotes,2
1244,nsa,1
1245,boss,1
1246,rogers,1
1247,dni,1
1248,leaked,3
1249,brought,1
1250,knees,1
1251,proving,1
1252,admits,5
1253,stock,2
1254,average,2
1255,sets,2
1256,businessman,1
1257,vladimir,3
1258,ready,5
1259,rebuild,2
1260,changed,2
1261,datin,1
1262,congratulates,5
1263,restore,2
1264,relations,6
1265,invited,1
1266,thanksgiving,2
1267,baldwins,1
1268,referee,1
1269,feud,1
1270,vide,4
1271,reminders,1
1272,ignore,3
1273,doomed,1
1274,effect,2
1275,qaeda,1
1276,morale,1
1277,collapses,1
1278,western,1
1279,bombing,1
1280,orthodox,1
1281,rabbi,1
1282,supports,3
1283,devotes,1
1284,life,8
1285,countering,1
1286,dangerous,3
1287,defeated,1
1288,condescendingly,1
1289,mocks,1
1290,winner,2
1291,promise,5
1292,accused,2
1293,trumpe,1
1294,reward,1
1295,hawkishness,1
1296,uncertai,1
1297,edward,2
1298,snowden,3
1299,hom,1
1300,somebody,2
1301,kept,1
1302,driving,1
1303,revenge,1
1304,awesom,1
1305,uncovered,1
1306,server,3
1307,uses,6
1308,talk,1
1309,busted,8
1310,daddy,2
1311,started,1
1312,conversation,1
1313,birth,1
1314,certificate,1
1315,audi,2
